72269 function calls (71874 primitive calls) in 14.067 seconds
Ordered by: cumulative time
   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   14.067   14.067 main.py:12(main)
        1    0.000    0.000   13.985   13.985 \lib\tkinter\__init__.py:1281(mainloop)
        1   12.040   12.040   13.985   13.985 {method 'mainloop' of '_tkinter.tkapp' objects}
       29    0.000    0.000    1.946    0.067 \lib\tkinter\__init__.py:1700(__call__)
     2306    1.923    0.001    1.923    0.001 {method 'call' of '_tkinter.tkapp' objects}
        1    0.000    0.000    1.752    1.752 \prographing_project\sources\gp_ui.py:83(<lambda>)
        1    0.000    0.000    1.752    1.752 \prographing_project\sources\gp_ui.py:29(open)
        1    0.000    0.000    1.748    1.748 \lib\tkinter\commondialog.py:29(show)
       49    0.000    0.000    0.109    0.002 \lib\tkinter\__init__.py:2286(__init__)
        2    0.000    0.000    0.106    0.053 \prographing_project\sources\gp_mouse_binding.py:101(b1_double)
        3    0.000    0.000    0.105    0.035 \prographing_project\sources\utils.py:86(placeButtons)
       13    0.000    0.000    0.104    0.008 \lib\tkinter\__init__.py:2350(__init__)
        2    0.000    0.000    0.103    0.052 \prographing_project\sources\gp_source_file.py:129(edit)
        2    0.000    0.000    0.103    0.052 \prographing_project\sources\text_editor.py:21(__init__)
        1    0.000    0.000    0.070    0.070 \lib\tkinter\__init__.py:2003(__init__)
        1    0.070    0.070    0.070    0.070 {built-in method _tkinter.create}
     49/7    0.000    0.000    0.041    0.006 \lib\tkinter\__init__.py:2302(destroy)
       26    0.001    0.000    0.039    0.002 \prographing_project\sources\gp_canvas.py:16(draw)
       23    0.000    0.000    0.034    0.001 \prographing_project\sources\gp_mouse_binding.py:16(redraw)
        1    0.000    0.000    0.033    0.033 \lib\tkinter\__init__.py:2058(destroy)
     2109    0.003    0.000    0.027    0.000 \lib\tkinter\__init__.py:2470(_create)
      702    0.002    0.000    0.026    0.000 \prographing_project\sources\gp_canvas.py:38(drawBlock)
       14    0.000    0.000    0.023    0.002 \prographing_project\sources\gp_mouse_binding.py:202(wheel)
        2    0.000    0.000    0.017    0.009 \prographing_project\sources\text_editor.py:95(<lambda>)
        2    0.000    0.000    0.017    0.009 \prographing_project\sources\text_editor.py:113(close)
      702    0.000    0.000    0.014    0.000 \lib\tkinter\__init__.py:2502(create_text)
      676    0.002    0.000    0.012    0.000 \prographing_project\sources\gp_canvas.py:63(drawLink)
        1    0.000    0.000    0.011    0.011 \prographing_project\sources\gp_ui.py:63(ui_init)
     2214    0.003    0.000    0.008    0.000 \lib\tkinter\__init__.py:1315(_options)
     2054    0.001    0.000    0.007    0.000 \prographing_project\sources\gp_canvas.py:32(scale)
      702    0.000    0.000    0.007    0.000 \lib\tkinter\__init__.py:2493(create_oval)
      676    0.000    0.000    0.006    0.000 \lib\tkinter\__init__.py:2490(create_line)
        4    0.000    0.000    0.005    0.001 \prographing_project\sources\gp_mouse_binding.py:166(b1_release)
     2127    0.001    0.000    0.005    0.000 \prographing_project\sources\utils.py:18(__sub__)
        1    0.000    0.000    0.004    0.004 \lib\tkinter\__init__.py:1478(configure)
        1    0.000    0.000    0.004    0.004 \lib\tkinter\__init__.py:1466(_configure)
     2261    0.002    0.000    0.004    0.000 \lib\tkinter\__init__.py:96(_cnfmerge)
        2    0.000    0.000    0.003    0.002 \prographing_project\sources\gp_mouse_binding.py:72(b1)
       13    0.000    0.000    0.003    0.000 \lib\tkinter\__init__.py:2861(__init__)
        1    0.000    0.000    0.003    0.003 \prographing_project\sources\gp_ui.py:89(<lambda>)
        1    0.000    0.000    0.003    0.003 \prographing_project\sources\gp_source_file.py:65(build)
     27/1    0.000    0.000    0.002    0.002 \prographing_project\sources\gp_source_file.py:164(build)
     4214    0.002    0.000    0.002    0.000 \prographing_project\sources\utils.py:12(__mul__)
       27    0.000    0.000    0.002    0.000 \prographing_project\sources\utils.py:91(getSettingsByLang)
        1    0.000    0.000    0.002    0.002 \prographing_project\sources\gp_source_file.py:40(open)
     2127    0.001    0.000    0.002    0.000 \prographing_project\sources\utils.py:15(__neg__)
  972/648    0.001    0.000    0.002    0.000 \prographing_project\sources\utils.py:117(dictMerge)
       23    0.000    0.000    0.001    0.000 \lib\tkinter\__init__.py:1388(_substitute)
     2160    0.001    0.000    0.001    0.000 \prographing_project\sources\utils.py:9(__add__)
        1    0.000    0.000    0.001    0.001 \prographing_project\sources\gp_mouse_binding.py:142(b1_motion)
       54    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
    11117    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
       29    0.000    0.000    0.001    0.000 \lib\tkinter\__init__.py:2499(create_rectangle)
     6451    0.001    0.000    0.001    0.000 \prographing_project\sources\utils.py:5(__init__)
        4    0.000    0.000    0.001    0.000 \lib\tkinter\__init__.py:2665(__init__)
     4395    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
       27    0.000    0.000    0.001    0.000 \prographing_project\sources\gp_source_file.py:92(__init__)
      648    0.000    0.000    0.001    0.000 \prographing_project\sources\utils.py:117(<lambda>)
       27    0.000    0.000    0.001    0.000 \prographing_project\sources\gp_source_file.py:140(parseFromStr)
     2408    0.001    0.000    0.001    0.000 {method 'getint' of '_tkinter.tkapp' objects}
        3    0.001    0.000    0.001    0.000 {method 'readline' of '_io.TextIOWrapper' objects}
      648    0.000    0.000    0.001    0.000 \prographing_project\sources\utils.py:112(normalMerge)
        5    0.000    0.000    0.001    0.000 \lib\tkinter\__init__.py:2748(__init__)
     4308    0.000    0.000    0.000    0.000 {built-in method _tkinter._flatten}
        4    0.000    0.000    0.000    0.000 \prographing_project\sources\gp_mouse_binding.py:58(find_block)
      253    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:1394(getint_event)
     5462    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:3078(__init__)
      4/1    0.000    0.000    0.000    0.000 \prographing_project\sources\utils.py:76(createMenu)
       24    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:2125(pack_configure)
     3752    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
       71    0.000    0.000    0.000    0.000 \prographing_project\sources\gp_source_file.py:135(convertToStr)
       10    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:2730(__init__)
     2054    0.000    0.000    0.000    0.000 \prographing_project\sources\utils.py:41(tuple)
        1    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:2067(readprofile)
       49    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:2253(_setup)
       40    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:1357(_register)
       23    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:1340(nametowidget)
      324    0.000    0.000    0.000    0.000 \prographing_project\sources\utils.py:142(getDictValByPath)
        1    0.000    0.000    0.000    0.000 \prographing_project\sources\gp_ui.py:90(<lambda>)
        1    0.000    0.000    0.000    0.000 \prographing_project\sources\gp_source_file.py:22(save)
        1    0.000    0.000    0.000    0.000 {built-in method io.open}
        2    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:2322(__init__)
       33    0.000    0.000    0.000    0.000 \prographing_project\sources\gp_canvas.py:35(unscale)
       50    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:584(destroy)
       11    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:1578(_grid_configure)
      162    0.000    0.000    0.000    0.000 \prographing_project\sources\utils.py:153(createDictByPath)
       23    0.000    0.000    0.000    0.000 \lib\enum.py:289(__call__)
       12    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:2875(add)
        6    0.000    0.000    0.000    0.000 {built-in method builtins.print}
      522    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        4    0.000    0.000    0.000    0.000 \lib\genericpath.py:27(isfile)
        9    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:2885(add_command)
        4    0.000    0.000    0.000    0.000 {built-in method nt.stat}
        1    0.000    0.000    0.000    0.000 {built-in method builtins.exec}
       13    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:1212(bind)
        5    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:1956(wm_protocol)
       13    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:1195(_bind)
        4    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:2690(insert)
       42    0.000    0.000    0.000    0.000 {method 'deletecommand' of '_tkinter.tkapp' objects}
        3    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:1599(grid_columnconfigure)
     1068    0.000    0.000    0.000    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:2395(__init__)
       46    0.000    0.000    0.000    0.000 {method 'getboolean' of '_tkinter.tkapp' objects}
        8    0.000    0.000    0.000    0.000 \lib\tkinter\__init__.py:1626(grid_rowconfigure)
